Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description,Condition
Honda,Hr-V,2020,53329,187933,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2020 Honda Hr-V With Navigation System, Adaptive Cruise Control, Leather Seats", Repainted Bumper
Mercedes-Benz,Glc,2005,405167,243293,SUV,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2005 Mercedes-Benz Glc With Bluetooth, Navigation System", Dented Door
Mitsubishi,Lancer,2007,28960,272591,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2007 Mitsubishi Lancer With Rear Camera, Sunroof, Leather Seats", Repainted Bumper
Bmw,3-Series,2007,22272,54147,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2007 Bmw 3-Series With Bluetooth, Sunroof, Navigation System, Adaptive Cruise Control", Repainted Bumper
Ford,Edge,2007,35902,109163,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2007 Ford Edge With Adaptive Cruise Control, Bluetooth, Sunroof, Leather Seats", Repainted Bumper
Nissan,Pathfinder,2014,32534,284952,SUV,6,Automatic Transmission,Gasoline,Silver, Sharjah,"2014 Nissan Pathfinder With Navigation System, Rear Camera, Leather Seats", Dented Door
Nissan,Sentra,2009,38730,176922,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2009 Nissan Sentra With Navigation System, Adaptive Cruise Control", Engine Repaired
Mercedes-Benz,Gle-Class,2014,384698,113641,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2014 Mercedes-Benz Gle-Class With Sunroof, Rear Camera", Accident History
Bmw,5-Series,2018,73937,154670,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2018 Bmw 5-Series With Adaptive Cruise Control, Rear Camera, Bluetooth", Repainted Bumper
Jeep,Wrangler,2008,93419,86952,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2008 Jeep Wrangler With Rear Camera, Sunroof, Leather Seats", Accident History
Jaguar,Xf,2024,40582,281408,Sedan,4,Automatic Transmission,Gasoline,Burgundy, Abu Dhabi,"2024 Jaguar Xf With Sunroof, Navigation System, Leather Seats, Rear Camera", No Damage
Porsche,Panamera,2010,87427,200386,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2010 Porsche Panamera With Bluetooth, Adaptive Cruise Control", Engine Repaired
Mercedes-Benz,G-Class,2016,796626,56553,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2016 Mercedes-Benz G-Class With Bluetooth, Leather Seats, Adaptive Cruise Control", No Damage
Land-Rover,Range-Rover,2020,223059,110164,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2020 Land-Rover Range-Rover With Navigation System, Rear Camera", Minor Scratches
Volkswagen,Id4,2015,114070,159679,Crossover,,Automatic Transmission,Electric,White, Dubai,"2015 Volkswagen Id4 With Sunroof, Navigation System", Engine Repaired
Mercedes-Benz,Gle-Coupe,2007,148944,41964,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2007 Mercedes-Benz Gle-Coupe With Leather Seats, Navigation System, Bluetooth, Rear Camera", Minor Scratches
Lexus,Lx-Series,2008,78339,219975,SUV,8,Automatic Transmission,Gasoline,Blue, Sharjah,"2008 Lexus Lx-Series With Adaptive Cruise Control, Navigation System, Leather Seats, Bluetooth", Accident History
Dodge,Charger,2019,164832,142261,Sedan,8,Automatic Transmission,Gasoline,Red, Dubai,"2019 Dodge Charger With Rear Camera, Adaptive Cruise Control, Bluetooth", Minor Scratches
Porsche,Cayenne,2018,1066806,136962,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2018 Porsche Cayenne With Adaptive Cruise Control, Leather Seats", Repainted Bumper
Mercedes-Benz,S-Class,2014,39627,188153,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2014 Mercedes-Benz S-Class With Adaptive Cruise Control, Rear Camera", Repainted Bumper
Lamborghini,Gallardo,2018,273116,238262,Sports Car,10,Automatic Transmission,Gasoline,Orange, Dubai,"2018 Lamborghini Gallardo With Adaptive Cruise Control, Navigation System, Leather Seats, Sunroof", Dented Door
Mercedes-Benz,Cls-Class,2016,14055,287311,Sedan,6,Automatic Transmission,Gasoline,Burgundy, Dubai,"2016 Mercedes-Benz Cls-Class With Adaptive Cruise Control, Navigation System", Accident History
Bmw,X5,2020,87728,156503,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2020 Bmw X5 With Sunroof, Rear Camera, Adaptive Cruise Control", Accident History
Porsche,Cayenne,2012,1019137,195597,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 Porsche Cayenne With Leather Seats, Rear Camera", Minor Scratches
Maserati,Ghibli,2018,170569,107409,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2018 Maserati Ghibli With Sunroof, Rear Camera, Bluetooth", Minor Scratches
Jeep,Grand-Cherokee,2009,146432,140427,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2009 Jeep Grand-Cherokee With Bluetooth, Rear Camera, Navigation System", Accident History
Mercedes-Benz,S-Class,2006,384297,48590,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2006 Mercedes-Benz S-Class With Leather Seats, Adaptive Cruise Control, Rear Camera, Bluetooth", Dented Door
Lexus,Rx-Series,2018,156962,295149,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2018 Lexus Rx-Series With Leather Seats, Navigation System, Adaptive Cruise Control", Dented Door
Mercedes-Benz,C-Class,2018,93216,79891,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2018 Mercedes-Benz C-Class With Rear Camera, Navigation System, Sunroof", Engine Repaired
Honda,Odyssey,2024,25124,14234,Sedan,4,Automatic Transmission,Gasoline,Black,Sharjah,"2024 Honda Odyssey With Rear Camera, Adaptive Cruise Control, Sunroof", Accident History
Hyundai,Santa-Fe,2020,55982,151309,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2020 Hyundai Santa-Fe With Navigation System, Sunroof", No Damage
Nissan,Armada,2016,25471,243952,Van,8,Automatic Transmission,Gasoline,White, Sharjah,"2016 Nissan Armada With Adaptive Cruise Control, Sunroof, Leather Seats", No Damage
Mercedes-Benz,E-Class,2011,140941,154642,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2011 Mercedes-Benz E-Class With Leather Seats, Rear Camera", Accident History
Ford,Edge,2021,41366,202245,SUV,6,Automatic Transmission,Gasoline,Brown, Abu Dhabi,"2021 Ford Edge With Adaptive Cruise Control, Sunroof, Navigation System", Dented Door
Jeep,Wrangler,2005,97370,54843,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2005 Jeep Wrangler With Sunroof, Adaptive Cruise Control, Navigation System, Leather Seats", Accident History
Dodge,Ram,2006,414365,84171,SUV,4,Automatic Transmission,Gasoline,Black, Sharjah,"2006 Dodge Ram With Rear Camera, Leather Seats", Repainted Bumper
Nissan,Patrol,2019,59809,222510,SUV,6,Manual Transmission,Gasoline,Gold, Sharjah,"2019 Nissan Patrol With Navigation System, Bluetooth", Repainted Bumper
Land-Rover,Range-Rover-Sport,2013,130276,113092,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 Land-Rover Range-Rover-Sport With Navigation System, Rear Camera", Repainted Bumper
Mercedes-Benz,Gle-Class,2012,310304,174827,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2012 Mercedes-Benz Gle-Class With Bluetooth, Adaptive Cruise Control, Sunroof", Minor Scratches
Porsche,Cayenne,2018,1039272,243029,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2018 Porsche Cayenne With Rear Camera, Sunroof", Dented Door
Nissan,Murano,2018,28624,269954,SUV,6,Automatic Transmission,Gasoline,Brown, Sharjah,"2018 Nissan Murano With Rear Camera, Navigation System, Adaptive Cruise Control", No Damage
Lexus,Rx-Series,2015,134252,186808,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2015 Lexus Rx-Series With Leather Seats, Rear Camera", Accident History
Mitsubishi,Pajero,2010,55551,54102,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai,"2010 Mitsubishi Pajero With Rear Camera, Adaptive Cruise Control", Engine Repaired
Volvo,V-Class,2016,49810,221539,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2016 Volvo V-Class With Rear Camera, Leather Seats, Navigation System, Adaptive Cruise Control", Accident History
Lamborghini,Aventador,2016,2511401,203984,Hard Top Convertible,12,Automatic Transmission,Gasoline,Yellow, Dubai,"2016 Lamborghini Aventador With Sunroof, Adaptive Cruise Control, Rear Camera, Leather Seats", Minor Scratches
Mercedes-Benz,Gle-Class,2024,138895,240824,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 Mercedes-Benz Gle-Class With Adaptive Cruise Control, Navigation System", No Damage
Land-Rover,Range-Rover,2006,210939,17647,Crossover,8,Automatic Transmission,Gasoline,White, Dubai,"2006 Land-Rover Range-Rover With Bluetooth, Sunroof", Repainted Bumper
Maserati,Levante,2009,333262,253870,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2009 Maserati Levante With Navigation System, Leather Seats", No Damage
Bmw,3-Series,2016,22588,254886,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2016 Bmw 3-Series With Navigation System, Adaptive Cruise Control, Leather Seats", Engine Repaired
Bmw,3-Series,2019,53426,299373,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2019 Bmw 3-Series With Leather Seats, Bluetooth, Adaptive Cruise Control, Navigation System", Minor Scratches
Land-Rover,Range-Rover,2007,170912,260967,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2007 Land-Rover Range-Rover With Bluetooth, Navigation System, Adaptive Cruise Control, Leather Seats", Accident History
Land-Rover,Range-Rover-Sport,2021,63602,145529,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 Land-Rover Range-Rover-Sport With Leather Seats, Sunroof", Accident History
Toyota,Highlander,2021,160278,107652,SUV,6,Automatic Transmission,Gasoline,Red, Sharjah,"2021 Toyota Highlander With Adaptive Cruise Control, Rear Camera, Bluetooth", No Damage
Dodge,Ram,2013,380675,209915,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2013 Dodge Ram With Adaptive Cruise Control, Navigation System, Sunroof", Dented Door
Peugeot,308,2023,39726,42656,Hatchback,4,Automatic Transmission,Gasoline,Brown, Dubai,"2023 Peugeot 308 With Bluetooth, Sunroof", Accident History
Mercedes-Benz,S-Class,2011,799715,86175,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2011 Mercedes-Benz S-Class With Bluetooth, Adaptive Cruise Control", Accident History
Mercedes-Benz,Cls-Class,2007,33229,196685,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2007 Mercedes-Benz Cls-Class With Navigation System, Sunroof, Bluetooth, Rear Camera", No Damage
Mercedes-Benz,C-Class,2021,275324,208926,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 Mercedes-Benz C-Class With Rear Camera, Leather Seats, Sunroof, Bluetooth", No Damage
Toyota,Corolla,2012,54697,36146,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2012 Toyota Corolla With Rear Camera, Navigation System", Dented Door
Land-Rover,Range-Rover,2022,190988,71100,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 Land-Rover Range-Rover With Rear Camera, Adaptive Cruise Control, Bluetooth", Minor Scratches
Ford,Bronco,2013,247487,184860,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2013 Ford Bronco With Sunroof, Leather Seats, Bluetooth, Adaptive Cruise Control", Dented Door
Porsche,Cayenne,2017,23379,110280,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2017 Porsche Cayenne With Adaptive Cruise Control, Sunroof", Repainted Bumper
Nissan,Patrol,2024,173005,38929,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 Nissan Patrol With Leather Seats, Rear Camera, Sunroof, Navigation System", Dented Door
Porsche,Cayenne,2014,71812,112893,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2014 Porsche Cayenne With Leather Seats, Rear Camera", Minor Scratches
Kia,Sportage,2021,21641,238009,SUV,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2021 Kia Sportage With Adaptive Cruise Control, Rear Camera", Repainted Bumper
Land-Rover,Range-Rover,2015,539094,152947,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 Land-Rover Range-Rover With Navigation System, Leather Seats, Adaptive Cruise Control, Bluetooth", No Damage
Mercedes-Benz,E-Class,2024,236572,138622,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 Mercedes-Benz E-Class With Leather Seats, Rear Camera, Bluetooth, Sunroof", Dented Door
Bmw,X5,2011,247933,118736,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2011 Bmw X5 With Leather Seats, Bluetooth, Sunroof, Navigation System", Minor Scratches
Mitsubishi,Montero-Sport,2011,58165,252214,Crossover,6,Automatic Transmission,Gasoline,White, Sharjah,"2011 Mitsubishi Montero-Sport With Sunroof, Bluetooth, Navigation System, Rear Camera", No Damage
Land-Rover,Range-Rover,2016,359032,120580,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2016 Land-Rover Range-Rover With Adaptive Cruise Control, Bluetooth", Repainted Bumper
Audi,Q8,2021,352539,150826,SUV,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2021 Audi Q8 With Rear Camera, Leather Seats, Sunroof, Adaptive Cruise Control", Engine Repaired
Kia,Cerato,2021,61159,81446,Sedan,4,Automatic Transmission,Gasoline,Blue, Sharjah,"2021 Kia Cerato With Sunroof, Leather Seats, Bluetooth, Navigation System", Repainted Bumper
Dodge,Charger,2019,52179,217621,Sports Car,6,Automatic Transmission,Gasoline,White, Ajman,"2019 Dodge Charger With Leather Seats, Rear Camera, Navigation System, Bluetooth", No Damage
Mercedes-Benz,E-Class,2023,586897,71999,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 Mercedes-Benz E-Class With Navigation System, Leather Seats, Adaptive Cruise Control, Bluetooth", Dented Door
Chrysler,200Cev200,2019,19334,84685,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2019 Chrysler 200Cev200 With Navigation System, Rear Camera", No Damage
Toyota,Prado,2015,109661,191237,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2015 Toyota Prado With Rear Camera, Leather Seats", Engine Repaired
Toyota,Rav-4,2005,141229,15530,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2005 Toyota Rav-4 With Navigation System, Sunroof, Rear Camera", No Damage
Dodge,Charger,2021,57972,211077,Sports Car,6,Automatic Transmission,Gasoline,White, Ajman,"2021 Dodge Charger With Leather Seats, Rear Camera", Repainted Bumper
Land-Rover,Range-Rover,2016,386907,279715,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2016 Land-Rover Range-Rover With Bluetooth, Rear Camera, Sunroof", Engine Repaired
Bmw,6-Series,2013,24045,219829,Soft Top Convertible,6,Automatic Transmission,Gasoline,Blue, Dubai,"2013 Bmw 6-Series With Leather Seats, Rear Camera, Adaptive Cruise Control", Accident History
Bmw,7-Series,2008,34880,97703,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2008 Bmw 7-Series With Bluetooth, Rear Camera, Leather Seats, Sunroof", Accident History
Hyundai,Other,2007,41216,54935,Sedan,6,Automatic Transmission,Gasoline,White, Sharjah,"2007 Hyundai Other With Adaptive Cruise Control, Navigation System, Bluetooth", Minor Scratches
Jeep,Grand-Cherokee,2010,186738,252128,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2010 Jeep Grand-Cherokee With Sunroof, Adaptive Cruise Control, Bluetooth", Accident History
Rolls-Royce,Cullinan,2020,2811800,143933,SUV,12,Automatic Transmission,Gasoline,White, Dubai,"2020 Rolls-Royce Cullinan With Navigation System, Adaptive Cruise Control, Bluetooth", Accident History
Toyota,Land-Cruiser,2009,88360,91707,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 Toyota Land-Cruiser With Leather Seats, Rear Camera", Engine Repaired
Land-Rover,Range-Rover-Sport,2021,81058,233699,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 Land-Rover Range-Rover-Sport With Leather Seats, Sunroof, Bluetooth, Rear Camera", Dented Door
Mazda,Cx-9,2023,27830,176811,SUV,6,Automatic Transmission,Gasoline,Burgundy, Dubai,"2023 Mazda Cx-9 With Rear Camera, Sunroof, Adaptive Cruise Control", Repainted Bumper
Toyota,Hiace,2014,61837,51123,Van,4,Manual Transmission,Gasoline,White, Dubai,"2014 Toyota Hiace With Rear Camera, Navigation System, Adaptive Cruise Control, Sunroof", Minor Scratches
Land-Rover,Range-Rover-Sport,2010,282172,37803,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2010 Land-Rover Range-Rover-Sport With Leather Seats, Sunroof, Bluetooth, Navigation System", Repainted Bumper
Honda,Accord,2017,46093,213396,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2017 Honda Accord With Leather Seats, Navigation System, Bluetooth", Accident History
Mercedes-Benz,G-Class,2008,1104607,149114,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2008 Mercedes-Benz G-Class With Leather Seats, Rear Camera", Engine Repaired
Ferrari,812-Superfast,2016,1077521,85523,SUV,12,Automatic Transmission,Gasoline,Red, Dubai,"2016 Ferrari 812-Superfast With Rear Camera, Navigation System", No Damage
Renault,Koleos,2016,25992,63194,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2016 Renault Koleos With Adaptive Cruise Control, Bluetooth", Repainted Bumper
Ford,Mustang,2010,60457,200030,Coupe,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2010 Ford Mustang With Rear Camera, Adaptive Cruise Control, Sunroof", Dented Door
Rolls-Royce,Cullinan,2012,2212245,239909,SUV,12,Automatic Transmission,Gasoline,Black, Dubai,"2012 Rolls-Royce Cullinan With Navigation System, Adaptive Cruise Control, Leather Seats, Rear Camera", No Damage
Mazda,3,2021,44406,175785,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2021 Mazda 3 With Adaptive Cruise Control, Rear Camera, Bluetooth", Dented Door
Porsche,Cayenne,2017,445051,240738,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2017 Porsche Cayenne With Rear Camera, Bluetooth, Sunroof, Adaptive Cruise Control", Engine Repaired
Mazda,6,2006,71015,56092,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2006 Mazda 6 With Navigation System, Bluetooth, Sunroof, Rear Camera", Engine Repaired
Jeep,Grand-Cherokee,2015,72170,250900,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2015 Jeep Grand-Cherokee With Rear Camera, Leather Seats, Sunroof", Minor Scratches
Bentley,Bentayga,2005,756870,284110,SUV,12,Automatic Transmission,Gasoline,Black, Dubai,"2005 Bentley Bentayga With Navigation System, Sunroof", Repainted Bumper
Dodge,Challenger,2021,43808,173881,Sedan,6,Automatic Transmission,Gasoline,Purple, Sharjah,"2021 Dodge Challenger With Navigation System, Bluetooth, Adaptive Cruise Control, Sunroof", Engine Repaired
Aston-Martin,Vantage,2016,163168,46933,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2016 Aston-Martin Vantage With Rear Camera, Adaptive Cruise Control, Navigation System", Dented Door
Mini,Cooper,2017,232746,294071,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2017 Mini Cooper With Rear Camera, Leather Seats", Engine Repaired
Lincoln,Continental,2020,105200,126646,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2020 Lincoln Continental With Sunroof, Rear Camera, Navigation System", Accident History
Land-Rover,Range-Rover-Sport,2020,130864,214794,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2020 Land-Rover Range-Rover-Sport With Leather Seats, Navigation System", Accident History
Suzuki,Ertiga,2005,29041,206439,SUV,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2005 Suzuki Ertiga With Adaptive Cruise Control, Bluetooth", Repainted Bumper
Nissan,Armada,2007,104437,102578,Sedan,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2007 Nissan Armada With Bluetooth, Sunroof, Rear Camera, Adaptive Cruise Control", Repainted Bumper
Lexus,Rx-Series,2008,24376,205593,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2008 Lexus Rx-Series With Bluetooth, Leather Seats", Minor Scratches
Jeep,Grand-Cherokee,2018,32360,239362,SUV,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2018 Jeep Grand-Cherokee With Sunroof, Adaptive Cruise Control, Bluetooth, Leather Seats", Dented Door
Mercedes-Benz,C-Class,2019,299193,80331,Coupe,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2019 Mercedes-Benz C-Class With Navigation System, Sunroof", Accident History
Volvo,Xc60,2012,115516,282022,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai,"2012 Volvo Xc60 With Bluetooth, Adaptive Cruise Control, Navigation System, Sunroof", Accident History
Chrysler,300M300C,2009,38699,246688,Sedan,6,Automatic Transmission,Gasoline,Black, Sharjah,"2009 Chrysler 300M300C With Bluetooth, Rear Camera", Minor Scratches
Porsche,Cayenne,2018,641051,139817,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2018 Porsche Cayenne With Leather Seats, Adaptive Cruise Control, Sunroof, Rear Camera", Dented Door
Maserati,Granturismo,2015,197564,120080,Coupe,8,Automatic Transmission,Gasoline,Blue, Dubai,"2015 Maserati Granturismo With Bluetooth, Rear Camera, Navigation System", Minor Scratches
Ford,F-Series-Pickup,2016,270548,224004,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2016 Ford F-Series-Pickup With Adaptive Cruise Control, Bluetooth, Leather Seats, Sunroof", No Damage
Lexus,Lx600,2006,664867,163758,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2006 Lexus Lx600 With Navigation System, Bluetooth, Leather Seats", Repainted Bumper
Dodge,Dart,2014,25381,235890,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2014 Dodge Dart With Sunroof, Leather Seats", Repainted Bumper
Jeep,Wrangler,2020,47287,75229,SUV,6,Manual Transmission,Gasoline,Black, Sharjah,"2020 Jeep Wrangler With Sunroof, Adaptive Cruise Control", Repainted Bumper
Bmw,4-Series,2018,135316,206009,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2018 Bmw 4-Series With Sunroof, Leather Seats", Engine Repaired
Jaguar,Xj-Series,2018,55588,142917,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2018 Jaguar Xj-Series With Adaptive Cruise Control, Bluetooth", Minor Scratches
Ford,F-Series-Pickup,2008,480800,109226,Pick Up Truck,6,Automatic Transmission,Gasoline,White, Dubai,"2008 Ford F-Series-Pickup With Bluetooth, Navigation System, Leather Seats, Adaptive Cruise Control", Engine Repaired
Mitsubishi,L200,2011,77898,61601,Pick Up Truck,4,Automatic Transmission,Diesel,White, Dubai,"2011 Mitsubishi L200 With Navigation System, Rear Camera", Minor Scratches
Land-Rover,Range-Rover,2011,346420,256274,Crossover,8,Automatic Transmission,Gasoline,Grey, Dubai,"2011 Land-Rover Range-Rover With Leather Seats, Bluetooth", Accident History
Toyota,Land-Cruiser,2021,106090,29809,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2021 Toyota Land-Cruiser With Rear Camera, Navigation System", Accident History
Chevrolet,Captiva,2014,27930,102416,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2014 Chevrolet Captiva With Leather Seats, Adaptive Cruise Control, Navigation System", Accident History
Mitsubishi,Pajero,2012,33129,171789,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2012 Mitsubishi Pajero With Navigation System, Rear Camera", Dented Door
Mercedes-Benz,Gl-Class,2021,114468,29194,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 Mercedes-Benz Gl-Class With Sunroof, Adaptive Cruise Control, Bluetooth, Leather Seats", Minor Scratches
Mercedes-Benz,Glk,2005,77532,23609,SUV,4,Automatic Transmission,Gasoline,Red, Dubai,"2005 Mercedes-Benz Glk With Leather Seats, Sunroof, Bluetooth", Repainted Bumper
Volkswagen,Touareg,2018,122649,154027,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 Volkswagen Touareg With Rear Camera, Bluetooth, Sunroof, Leather Seats", Accident History
Toyota,Land-Cruiser,2023,389891,156397,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2023 Toyota Land-Cruiser With Adaptive Cruise Control, Sunroof, Navigation System", Repainted Bumper
Peugeot,Other,2008,108682,274785,Sedan,4,Manual Transmission,Gasoline,White,Abu Dhabi,"2008 Peugeot Other With Leather Seats, Rear Camera, Navigation System, Sunroof", Dented Door
Mercedes-Benz,Cls-Class,2012,326800,168115,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2012 Mercedes-Benz Cls-Class With Rear Camera, Leather Seats, Adaptive Cruise Control, Bluetooth", Accident History
Lamborghini,Urus,2018,1692964,84868,SUV,8,Automatic Transmission,Gasoline,Green, Dubai,"2018 Lamborghini Urus With Navigation System, Rear Camera", Repainted Bumper
Toyota,Sienna,2014,25456,278461,Van,6,Automatic Transmission,Gasoline,Red, Dubai,"2014 Toyota Sienna With Bluetooth, Sunroof", Dented Door
Nissan,Altima,2009,36066,251638,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2009 Nissan Altima With Navigation System, Rear Camera", Dented Door
Mercedes-Benz,S-Class,2018,94719,189261,Sedan,8,Automatic Transmission,Gasoline,Brown, Dubai,"2018 Mercedes-Benz S-Class With Bluetooth, Rear Camera, Leather Seats", Engine Repaired
Rolls-Royce,Cullinan,2012,3168401,174045,SUV,12,Automatic Transmission,Gasoline,Black, Dubai,"2012 Rolls-Royce Cullinan With Adaptive Cruise Control, Bluetooth", Engine Repaired
Lexus,Is-Series,2005,76266,244684,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2005 Lexus Is-Series With Bluetooth, Leather Seats, Rear Camera", No Damage
Nissan,Patrol,2007,127089,210436,SUV,8,Automatic Transmission,Gasoline,Green, Dubai,"2007 Nissan Patrol With Bluetooth, Adaptive Cruise Control", Minor Scratches
Nissan,Altima,2006,12157,199090,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2006 Nissan Altima With Navigation System, Rear Camera, Bluetooth", Engine Repaired
Bmw,5-Series,2021,20830,45008,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 Bmw 5-Series With Navigation System, Adaptive Cruise Control", Engine Repaired
Jeep,Grand-Cherokee,2007,40858,142912,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2007 Jeep Grand-Cherokee With Sunroof, Navigation System, Rear Camera", Minor Scratches
Mercedes-Benz,S-Class,2024,34282,78954,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2024 Mercedes-Benz S-Class With Adaptive Cruise Control, Rear Camera, Sunroof, Navigation System", Minor Scratches
Land-Rover,Range-Rover,2007,158873,207799,Wagon,8,Automatic Transmission,Gasoline,White, Sharjah,"2007 Land-Rover Range-Rover With Bluetooth, Adaptive Cruise Control, Leather Seats", Repainted Bumper
Bmw,X6,2023,237877,35466,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2023 Bmw X6 With Bluetooth, Rear Camera", Repainted Bumper
Porsche,Carrera,2007,602833,285593,Sports Car,6,Automatic Transmission,Gasoline,Orange, Dubai,"2007 Porsche Carrera With Adaptive Cruise Control, Sunroof", Minor Scratches
